Codigo;Descripcion;Color;Talla;Departamento;Referencia;Marca;Costo;Precio Maximo;Precio Oferta;Precio Mayor;Precio Minimo
;;AZUL MARINO;6;;;;;;;;
;;AZUL REY;8;;;;;;;;
;;AZUL CELESTE;10;;;;;;;;
;;BEIGE;12;;;;;;;;
;;GRIS OSCURO;14;;;;;;;;
;;GRIS MEDIO;16;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
;;VERDE HOJA;;;;;;;;;
;;VERNDE MANZANA;;;;;;;;;
;;AMARILLO BANDERA;;;;;;;;;
;;AMARILLO CATERPILLAR;;;;;;;;;
S010107;CAMISA CLASICA MICROFIBRA BORDADA SS-XL;BLANCO;SS/EP;PRODUCTOS FABRICADOS;; NAJUL;7;15;14;13,3;12,8
;;NEGRO;S/P;;;;;;;;
;;AZUL MARINO;M/M;;;;;;;;
;;AZUL REY;L/G;;;;;;;;
;;AZUL CELESTE;XL/EG;;;;;;;;
;;BEIGE;;;;;;;;;
;;GRIS OSCURO;;;;;;;;;
;;GRIS MEDIO;;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
;;VERDE HOJA;;;;;;;;;
;;VERNDE MANZANA;;;;;;;;;
;;AMARILLO BANDERA;;;;;;;;;
;;AMARILLO CATERPILLAR;;;;;;;;;
S010108;CAMISA CLASICA MICROFIBRA BORDADA 2XL-5XL;BLANCO;2XL/2EG;PRODUCTOS FABRICADOS;;NAJUL;8,4;18;16,5;16;15,3
;;NEGRO;3XL/3EG;;;;;;;;
;;AZUL MARINO;4XL/4EG;;;;;;;;
;;AZUL REY;5XL/5EG;;;;;;;;
;;AZUL CELESTE;;;;;;;;;
;;BEIGE;;;;;;;;;
;;GRIS OSCURO;;;;;;;;;
;;GRIS MEDIO;;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
;;VERDE HOJA;;;;;;;;;
;;VERNDE MANZANA;;;;;;;;;
;;AMARILLO BANDERA;;;;;;;;;
;;AMARILLO CATERPILLAR;;;;;;;;;
S010109;CAMISA CLASICA MICROFIBRA NIÑO BORDADA ;BLANCO;2;PRODUCTOS FABRICADOS;;NAJUL;6,5;14;13,2;12,2;11,7
;;NEGRO;4;;;;;;;;
;;AZUL MARINO;6;;;;;;;;
;;AZUL REY;8;;;;;;;;
;;AZUL CELESTE;10;;;;;;;;
;;BEIGE;12;;;;;;;;
;;GRIS OSCURO;14;;;;;;;;
;;GRIS MEDIO;16;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
;;VERDE HOJA;;;;;;;;;
;;VERNDE MANZANA;;;;;;;;;
;;AMARILLO BANDERA;;;;;;;;;
;;AMARILLO CATERPILLAR;;;;;;;;;
S010201;CAMISA CLASICA ML UNIOFFICE BORDADA SS-XL;BLANCO;SS/EP;PRODUCTOS FABRICADOS;;NAJUL;10,12;21;19;18,5;17,9
;;BEIGE;S/P;;;;;;;;
;;GRIS;M/M;;;;;;;;
;;GRIS TITANIUM;L/G;;;;;;;;
;;AZUL TRAMAS;XL/EG;;;;;;;;
;;AZUL CELESTE;;;;;;;;;
;;AZUL TURQUESA;;;;;;;;;
;;AZUL MARINO;;;;;;;;;
;;AZUL CHAMBRAY;;;;;;;;;
;;NARANJA;;;;;;;;;
;;ROJO;;;;;;;;;
;;VERDE AGUA;;;;;;;;;
;;VERDE;;;;;;;;;
S010202;CAMISA CLASICA ML UNIOFFICE BORDADA 2XL-5XL;BLANCO;2XL/2EG;PRODUCTOS FABRICADOS;;NAJUL;10,97;23;21;20,4;19,6
;;BEIGE;3XL/3EG;;;;;;;;
;;GRIS;4XL/4EG;;;;;;;;
;;GRIS TITANIUM;5XL/5EG;;;;;;;;
;;AZUL TRAMAS;;;;;;;;;
;;AZUL CELESTE;;;;;;;;;
;;AZUL TURQUESA;;;;;;;;;
;;AZUL MARINO;;;;;;;;;
;;AZUL CHAMBRAY;;;;;;;;;
;;NARANJA;;;;;;;;;
;;ROJO;;;;;;;;;
;;VERDE AGUA;;;;;;;;;
;;VERDE;;;;;;;;;
S010203;CAMISA CLASICA ML UNIOFFICE NIÑO BORDADA ;BLANCO;2;PRODUCTOS FABRICADOS;;NAJUL;9,2;19;17,8;17,2;16,6
;;BEIGE;4;;;;;;;;
;;GRIS;6;;;;;;;;
;;GRIS TITANIUM;8;;;;;;;;
;;AZUL TRAMAS;10;;;;;;;;
;;AZUL CELESTE;12;;;;;;;;
;;AZUL TURQUESA;14;;;;;;;;
;;AZUL MARINO;16;;;;;;;;
;;AZUL CHAMBRAY;;;;;;;;;
;;NARANJA;;;;;;;;;
;;ROJO;;;;;;;;;
;;VERDE AGUA;;;;;;;;;
;;VERDE;;;;;;;;;
S010204;CAMISA CLASICA ML ALGODON EGIPCIO BORDADA SS-XL;BLANCO;SS/EP;PRODUCTOS FABRICADOS;;NAJUL;8,99;18,8;17,2;16,8;16,2
;;NEGRO;S/P;;;;;;;;
;;AZUL MARINO;M/M;;;;;;;;
;;AZUL REY;L/G;;;;;;;;
;;AZUL CELESTE;XL/EG;;;;;;;;
;;BEIGE;;;;;;;;;
;;GRIS OSCURO;;;;;;;;;
;;GRIS MEDIO;;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
;;VERDE HOJA;;;;;;;;;
;;VERNDE MANZANA;;;;;;;;;
;;AMARILLO BANDERA;;;;;;;;;
;;AMARILLO CATERPILLAR;;;;;;;;;
S010205;CAMISA CLASICA ML ALGODON EGIPCIO BORDADA 2XL-5XL;BLANCO;2XL/2EG;PRODUCTOS FABRICADOS;;NAJUL;9,7;20,5;18,7;18,2;17,7
;;NEGRO;3XL/3EG;;;;;;;;
;;AZUL MARINO;4XL/4EG;;;;;;;;
;;AZUL REY;5XL/5EG;;;;;;;;
;;AZUL CELESTE;;;;;;;;;
;;BEIGE;;;;;;;;;
;;GRIS OSCURO;;;;;;;;;
;;GRIS MEDIO;;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
;;VERDE HOJA;;;;;;;;;
;;VERNDE MANZANA;;;;;;;;;
;;AMARILLO BANDERA;;;;;;;;;
;;AMARILLO CATERPILLAR;;;;;;;;;
S010206;CAMISA CLASICA ML ALGODON EGIPCIO NIÑO BORDADA ;BLANCO;2;PRODUCTOS FABRICADOS;;NAJUL;8,5;17,5;16,5;16;15,5
;;NEGRO;4;;;;;;;;
;;AZUL MARINO;6;;;;;;;;
;;AZUL REY;8;;;;;;;;
;;AZUL CELESTE;10;;;;;;;;
;;BEIGE;12;;;;;;;;
;;GRIS OSCURO;14;;;;;;;;
;;GRIS MEDIO;16;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
;;VERDE HOJA;;;;;;;;;
;;VERNDE MANZANA;;;;;;;;;
;;AMARILLO BANDERA;;;;;;;;;
;;AMARILLO CATERPILLAR;;;;;;;;;
S010207;CAMISA CLASICA ML MICROFIBRA BORDADA SS-XL;BLANCO;SS/EP;PRODUCTOS FABRICADOS;;NAJUL;7,8;17;15,5;15,2;14,8
;;NEGRO;S/P;;;;;;;;
;;AZUL MARINO;M/M;;;;;;;;
;;AZUL REY;L/G;;;;;;;;
;;AZUL CELESTE;XL/EG;;;;;;;;
;;BEIGE;;;;;;;;;
;;GRIS OSCURO;;;;;;;;;
;;GRIS MEDIO;;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
;;VERDE HOJA;;;;;;;;;
;;VERNDE MANZANA;;;;;;;;;
;;AMARILLO BANDERA;;;;;;;;;
;;AMARILLO CATERPILLAR;;;;;;;;;
S010208;CAMISA CLASICA ML MICROFIBRA BORDADA 2XL-5XL;BLANCO;2XL/2EG;PRODUCTOS FABRICADOS;;NAJUL;8,5;17,5;16;15,7;14,2
;;NEGRO;3XL/3EG;;;;;;;;
;;AZUL MARINO;4XL/4EG;;;;;;;;
;;AZUL REY;5XL/5EG;;;;;;;;
;;AZUL CELESTE;;;;;;;;;
;;BEIGE;;;;;;;;;
;;GRIS OSCURO;;;;;;;;;
;;GRIS MEDIO;;;;;;;;;
;;GRIS CLARO;;;;;;;;;
;;ROJO;;;;;;;;;
;;NARANJA;;;;;;;;;
