XTM-310BL;XTECH MOUSE INALÁMBRICO 4 BOTONES GALOS AZUL;4;;$ 5,59;$ 7,27;;$ 22,36;;
XTM-310GN;XTECH MOUSE INALÁMBRICO 4 BOTONES GALOS VERDE;4;;$ 5,59;$ 7,27;;$ 22,36;;
XTM-315BL;XTECH MOUSE INALÁMBRICO 4 BOTONES MALTA NEGRO;4;;$ 5,67;$ 7,37;;$ 22,68;;
DTKN/64GB;KINGSTON PENDRIVE 64GB USB DATA TRAVELER METAL;12;;$ 8,70;$ 11,31;;$ 104,40;;
DTX_64GB;KINGSTON PENDRIVE 64GB DATA TRAVELER EXODIA USB 3.2;12;;$ 4,60;$ 5,98;;$ 55,20;;
DTXM-128GB;KINGSTON PENDRIVE EXODIA M DTXM/128GB USB 3.2 GEN 1;12;;$ 9,80;$ 12,74;;$ 117,60;;
DTXM-256GB;KINGSTON PENDRIVE EXODIA MDTXM-256GB USB 3.2 GEN 1;12;;$ 19,46;$ 25,30;;$ 233,55;;
SDCS2/64GB;KINGTON MICRO SDHC 64GB CLASS 10;12;;$ 4,70;$ 6,11;;$ 56,40;;
FSP-06MN;FORZA PROTECTOR DE TENSION 1250J - 1800W 5 SLDS UNIVERSALES -120V-240V | CONSUMO (COMPUTADORAS Y ACCESORIOS - MONITORES - ELECTRONICOS PERSONALES - TELEFONOS - MODEM - ROUTERS);6;;$ 11,36;$ 14,77;;$ 68,16;;
RSO-08T;FORZA PRORECTOR DE VOLTAJE  1800J  110/220V  11 TOMAS  (CONSOLAS PARA VIDEO JUEGOS / SENALIZACION DIGITAL / ELECTRONICOS PERSONALES);6;;$ 22,58;$ 29,35;;$ 135,48;;
RHT-06NC;FORZA PROTECTOR MULTITOMAS ENCHUFABLE2160J/1800W, 6 SALIDAS GIRATORIAS UL-120V LUZ DE ESTADO (TELEVISORES 19-80 / CONSOLAS PARA VIDEO / VIDEO VIGILANCIA / CONSOLAS PARA VIDEO JUEGOS / SENALIZACION DIGITAL / ELECTRONICOS PERSONALES);4;;$ 28,00;$ 36,40;;$ 112,00;;
FVP-1201N;"FORZA  PROTECTOR DE VOLTAJE 900J 120V1800W 1OUTLET RJ45 NEGRO NP3  (ELECTRODOMESTICOS - MOTORES ELECTRICOS- TV 30"" A 80""- IMPRESORAS MULTIFUNCIONALES - COPIADORAS - AIRES ACONDICIONADOS PEQUENOS)";6;;$ 12,00;$ 15,60;;$ 72,00;;
FSP-1011USBW;FORZA REGLETA PROTECTORA DE TENSIÓN 1800J/ 1750W, 11 SLDS, 3 PUERTOS USB, 2 RJ45 & COAX-120V/240V | CONSUMO (COMPUTADORAS Y ACCESORIOS / CELULARES Y TABLETAS / ELECTRONICOS PERSONALES / TELEFONOS / MODEM / ROUTERS);4;;$ 29,70;$ 38,61;;$ 118,80;;
FVP-3302B;FORZA PROTECTOR DE VOLTAJE  3300VA 220V 1 TOMA (AIRE ACONDICIONADO MEDIANO- CONGELADOR- COCINA ELECTRICA);6;;$ 14,00;$ 18,20;;$ 84,00;;
FVP-4402B;FORZA PROTECTOR DE VOLTAJE  4400W 220V 1 x NEMA 6-20R LUZ LED (UNIDADES DE AIRE ACONDICIONADO GRANDES - AIRE ACONDICIONADO DIVIDIDO - COCINA ELECTRICA - REFRIGERADOR INDUSTRIAL - MOTOR ELECTRICO - CONGELADOR);6;;$ 16,45;$ 21,39;;$ 98,70;;
FVR-1011;FORZA REGULADOR DE VOLTAJE 1000VA/500W 110V 4 TOMAS (COMPUTADORAS Y ACCESORIOS / CELULARES Y TABLETAS / ELECTRONICOS PERSONALES / TELEFONOS / MODEM / ROUTERS);6;;$ 12,82;$ 16,67;;$ 76,92;;
